-1,45.54,49.9,50,50.21,55.51,53.6,6.28,2.05,0.02,3.45,7.25,0.72,-1.198,-1.336,-1.652,-1.695,-1.323,-0.717,70.484,74.878,79.441,83.716,87.437,89.767,9.19,8.89,8.14,9.64,4.49,6.11,0.19,3.23,-5.28,-0.94,-7.25,1.96,-12.774,-13.702,-15.151,-16.459,-16.707,-16.135,49.252,47.354,46.639,47.1,43.981,38.967,-2.16,-3.11,0.31,-1.16,-10.47,-8.6,-10.88,7.56,7.67,-14.65,-8.13,-0.72,-10.041,-9.855,-9.596,-9.618,-9.492,-9.279,-13.686,-15.51,-19.191,-21.067,-22.337,-24.657,2.42,-7.2,-6.79,-0.8,-5.47,-2.88,-17.48,-2.05,5.75,3.77,-6.68,0.06
1,60,60.28,60.01,59.96,60.03,58.44,0,2.27,-0.28,-0.48,0.23,0.39,-1.158,-0.994,-0.54,0.526,2.641,4.89,97.412,93.276,89.632,86.735,84.185,81.403,-8.97,-7.61,-6.29,-5.25,-5.65,-3.9,0.68,-0.07,4.03,2.21,-4.93,4.55,-10.787,-10.934,-10.199,-8.204,-6.185,-4.08,118.61,116.14,113.57,111.47,108.05,106.24,-5.54,-5.38,-3.22,-7.34,-5.16,-1.55,6.25,-3.72,7.1,-9.06,1.75,4.03,-11.064,-10.572,-9.666,-8.543,-6.492,-4.546,-44.43,-51.914,-59.254,-66.899,-73.742,-80.595,-15.28,-15.27,-14.27,-14.46,-13.97,-13.36,4.09,-1.78,-4.64,7.31,-1.36,-1.52
-1,46.37,50,51.74,51.1,49.97,50.41,10.69,-0.23,4.05,-6.03,0.81,-2.99,-2.622,-2.454,-2.194,-1.659,-0.929,-1.25,101.08,101.6,101.32,100.08,100.02,99.795,3.46,0,-1.74,-1.52,0.03,-0.87,-10,0.25,-4.05,9.8,-0.81,-1.27,-12.683,-13.066,-12.783,-12.532,-12.185,-12.742,57.662,60.7,63.149,65.913,69.035,71.732,9.14,3.6,5.58,6.29,5.59,5.74,-3.44,0.95,-1.49,4.32,0.19,5.28,-13.445,-13.489,-13.447,-13.172,-12.94,-13.937,-39.621,-39.091,-39.37,-40.403,-39.56,-38.059,3.63,0,-1.74,-0.95,3.84,0.82,-10.71,0.23,-4.05,8.45,4.46,-6.3
1,52.17,55.04,53.17,52.38,52.49,54.01,5.92,0.16,-8.64,-3.45,4.69,-0.19,-1.337,-1.704,-1.35,0.897,3.125,4.443,66.394,63.086,59.238,56.488,53.637,48.389,-4.81,-8.04,-6.17,-5.92,-6.93,-10.24,-2.35,-0.16,8.64,-0.35,-13.83,11.39,-11.609,-11.86,-11.971,-10.489,-8.619,-6.37,12.025,14.506,16.754,20.38,24.172,25.775,6.7,3.95,6.63,7.12,6.5,2.37,-4.78,-0.21,11.05,3.45,-11.31,6.01,-13.889,-13.957,-13.817,-11.93,-9.781,-7.879,-65.305,-62.451,-59.799,-56.009,-53.507,-52.653,8.04,4.79,6.83,7.09,2.61,0.8,-9.5,1.44,8.64,-2.82,-6.73,-7.84
-1,44.77,44.97,44.97,45.83,45.34,44.99,1.78,0,0.35,-2.24,-2.5,0,1.15,1.051,0.642,-0.308,-0.856,-0.687,39.494,38.256,38.016,37.788,37.534,37.903,-2.67,-1.68,-0.07,-0.84,0.36,0.19,1.03,7.91,2.19,2.31,6.63,0.37,12.789,12.249,11.957,11.347,10.801,10.854,28.039,28.067,28.353,28.483,28.179,28.127,0.36,0.19,0.78,-0.7,-0.36,1.24,-1.63,2.13,1.84,0.1,2.24,9.94,11.939,11.602,11.579,11.578,12.21,12.965,-28.689,-28.771,-28.975,-29.261,-29.553,-28.984,0.22,-0.8,0,-0.86,0.17,1.13,-1.78,-2.41,-0.35,2.24,6.6,-1.72
1,36,35.5,35.75,36.01,34.93,33.43,-2.89,0.03,1.46,0.06,-7.54,7.73,-1.554,-1.58,-1.58,-1.58,-1.614,-2.734,38.967,38.688,38.424,37.939,37.48,38.433,-1.02,-0.5,-0.75,-1.01,0.08,1.48,3.13,-0.03,-1.46,-0.06,7.75,-9.97,9.494,9.479,9.486,9.428,9.338,8.139,71.471,77.698,82.424,86.977,91.536,96.982,13.9,10.03,9.4,8.99,9.99,11.49,0.86,-6.28,-1.03,-0.06,5.85,3.47,12.385,12.371,12.38,12.388,12.363,11.338,-2.872,3.719,10.254,15.435,19.935,26.791,12.71,13.29,12.19,9.06,10.3,13.41,4.07,1.33,-5.53,-1.65,11.15,-16.99
-1,45,44.9,43.13,45.99,45.25,45,0,-2.05,8.01,0.3,-2.27,0.02,-3.401,-3.582,-3.514,-3.249,-2.872,-2.774,71.9,74.152,77.44,79.682,80.964,83.438,5.63,4.74,6.71,2.71,3.92,5.03,-2.94,6.01,-8.25,-4.58,7.73,0.03,11.138,11.202,11.237,11.491,11.895,11.985,58.971,65.648,71.464,76.282,80.883,85.886,13.17,11.28,11.66,9.01,9.75,10,9.82,-7.32,-9.89,-0.3,2.27,-0.02,8.974,9.28,9.275,8.929,8.908,8.895,-40.696,-37.429,-32.959,-28.78,-24.207,-18.078,6.69,6.89,10.15,7.54,11.6,12.15,-2.75,2.22,-5.45,0.79,6.66,-0.87
1,49.09,50.09,51.78,54.9,55.19,56.9,3.99,1.58,-0.51,2.06,2.92,-6.19,-4.248,-4.504,-4.177,-3.182,-3.871,-4.889,75.534,76.187,77.52,78.439,76.006,73.355,1.3,1.25,4.65,-3.04,-5.17,-4.44,0.48,1.91,5.21,-13.26,-1.56,6.87,7.274,6.938,7.059,7.392,8.206,8.142,45.455,48.16,51.786,54.384,55.4,55.59,6.36,6.74,6.73,2.39,2.69,-2.23,-4.11,9.62,0.58,-10.2,-2.66,-3.34,8.475,8.398,8.421,8.519,8.532,7.833,-21.437,-19.024,-17.098,-15.952,-15.96,-16.488,4.21,4.91,3.33,0.21,-0.21,0.93,0.97,-1.58,2.36,-3.88,-3.21,17.39
-1,39.66,36.06,41.75,43.61,40.68,39.5,-5.17,11.2,8.43,-2.7,-8.59,-2.63,4.6,3.752,2.547,2.849,4.22,4.8,67.894,68.447,66.385,62.257,57.382,54.951,-2.35,0.65,-6.76,-9.15,-6.21,-6.01,3.13,-20.54,-8.27,-5.97,17.43,-4.72,-9.015,-10.094,-11.964,-11.671,-10.559,-10.155,43.922,45.685,45.333,41.638,38.445,37.828,0.5,3.21,-3.71,-8.67,-2.39,0.14,5.27,-15.58,-14.74,2.72,13.73,8.28,-9.495,-10.638,-11.343,-10.118,-8.086,-7.953,-28.492,-29.511,-31.88,-37.178,-39.876,-39.569,-4.6,-2.09,-8.52,-8.36,-1.46,0.47,5.12,-8.85,-19.63,9.06,17.26,0.7
1,39.92,40,40.37,42.92,45.25,50.24,1.7,0,4.23,8.85,3.17,8.13,1.922,1.93,1.914,1.947,2.016,2.738,48.667,50.16,52.525,54.396,55.212,54.141,1.75,3.72,4.66,2.77,0.8,-5.31,6.46,4.01,-4.23,-5.76,-5.84,-8.58,-8.931,-9.223,-9.255,-9.268,-9.544,-8.931,27.315,31.927,36.959,41.27,45.415,47.417,9.64,9.95,9.63,8.14,7.97,-0.23,-7.39,1.39,-4.23,-0.95,-6.89,-9.35,-7.716,-7.896,-7.703,-7.429,-7.422,-6.507,-62.105,-57.533,-53.571,-51.819,-51.042,-50.726,8.47,9.34,5.12,2.09,2.57,-1.18,5.2,1.6,-10.13,-8.45,0.52,-1.04
